//Name	Sweat	Blush	Cropped-Position
カゲマン	132,63	107,49	-21,-42
マイユニ_男1_顔A	133,73	91,45	-21,-46
マイユニ_男1_顔B	133,78	86,40	-21,-46
マイユニ_男1_顔C	133,78	86,40	-21,-46
マイユニ_男1_顔D	133,78	86,40	-21,-46
マイユニ_男1_顔E	133,78	86,40	-21,-46
マイユニ_男1_顔F	133,78	86,40	-21,-46
マイユニ_男1_顔G	133,78	86,40	-21,-46
マイユニ_男1_顔H	32,32	32,32	-21,-46
マイユニ_男1_顔I	32,32	32,32	-21,-46
マイユニ_男1_顔J	32,32	32,32	-21,-46
マイユニ_男2_顔A	135,67	88,42	-21,-40
マイユニ_男2_顔B	135,67	88,42	-21,-40
マイユニ_男2_顔C	135,67	88,42	-21,-40
マイユニ_男2_顔D	135,67	88,42	-21,-40
マイユニ_男2_顔E	135,67	88,42	-21,-40
マイユニ_男2_顔F	135,67	88,42	-21,-40
マイユニ_男2_顔G	135,67	88,42	-21,-40
マイユニ_男2_顔H	32,32	32,32	-21,-46
マイユニ_男2_顔I	32,32	32,32	-21,-46
マイユニ_男2_顔J	32,32	32,32	-21,-46
マイユニ_女1_顔A	134,98	96,76	-23,-51
マイユニ_女1_顔B	134,98	96,76	-23,-51
マイユニ_女1_顔C	134,98	96,76	-23,-51
マイユニ_女1_顔D	134,98	96,76	-23,-51
マイユニ_女1_顔E	134,98	96,76	-23,-51
マイユニ_女1_顔F	134,98	96,76	-23,-51
マイユニ_女1_顔G	134,98	96,76	-23,-51
マイユニ_女1_顔H	32,32	32,32	-21,-46
マイユニ_女1_顔I	32,32	32,32	-21,-46
マイユニ_女1_顔J	32,32	32,32	-21,-46
マイユニ_女2_顔A	130,86	95,66	-20,-50
マイユニ_女2_顔B	130,86	95,66	-20,-50
マイユニ_女2_顔C	130,86	95,66	-20,-50
マイユニ_女2_顔D	130,86	95,66	-20,-50
マイユニ_女2_顔E	130,86	95,66	-20,-50
マイユニ_女2_顔F	130,86	95,66	-20,-50
マイユニ_女2_顔G	130,86	95,66	-20,-50
マイユニ_女2_顔H	32,32	32,32	-21,-46
マイユニ_女2_顔I	32,32	32,32	-21,-46
マイユニ_女2_顔J	32,32	32,32	-21,-46
フードマン	32,32	32,32	-21,-46
ジョーカー	131,75	93,56	-17,-42
サイラス	130,64	92,46	-24,-46
スズカゼ	118,75	93,58	-24,-47
リョウマ	132,65	107,56	-22,-32
タクミ	118,75	83,62	-19,-49
サイゾウ	137,44	115,48	-38,-50
ニシキ	115,79	83,61	-19,-43
ヒナタ	131,80	93,64	-19,-49
アサマ	135,88	102,70	-27,-42
ツバキ	136,71	100,61	-23,-40
ツクヨミ	130,105	97,92	-19,-46
マークス	126,52	97,38	-21,-32
